,dialogue_id,turn_id,n_clusters_user,n_clusters_system,n_clusters_final
177,23,2,20.0,,20
178,23,4,15.0,,15
179,23,6,4.0,,4
180,23,8,4.0,,4
181,23,10,15.0,,15
182,23,12,10.0,,10
183,23,14,11.0,,11
184,24,0,17.0,,17
185,24,2,17.0,,17
186,24,4,7.0,,7
187,24,6,4.0,,4
188,24,8,1.0,,1
189,25,0,13.0,,13
190,25,2,0.0,,0
191,25,4,14.0,,14
192,25,6,14.0,,14
193,25,8,14.0,,14
194,25,10,1.0,,1
195,26,0,8.0,,8
196,26,2,8.0,,8
197,26,4,6.0,,6
198,26,6,1.0,,1
199,27,0,8.0,,8
200,27,2,20.0,,20
201,27,4,8.0,,8
202,27,6,0.0,,0
203,27,8,6.0,,6
204,27,10,1.0,,1
205,28,0,13.0,,13
206,28,2,17.0,,17
207,28,4,20.0,,20
208,28,6,15.0,,15
209,28,8,4.0,,4
210,28,10,4.0,,4
211,28,12,0.0,,0
212,28,14,7.0,,7
213,28,16,0.0,,0
214,28,18,15.0,,15
215,28,20,1.0,,1
216,28,22,11.0,,11
217,28,24,16.0,,16
218,29,0,3.0,,3
219,29,2,20.0,,20
220,29,4,1.0,,1
221,30,0,5.0,,5
222,30,2,8.0,,8
223,30,4,17.0,,17
224,30,6,5.0,,5
225,30,8,15.0,,15
226,30,10,9.0,,9
227,30,12,15.0,,15
228,30,14,1.0,,1
229,31,0,15.0,,15
230,31,2,4.0,,4
231,31,4,11.0,,11
232,32,0,3.0,,3
233,32,2,8.0,,8
234,32,4,7.0,,7
235,32,6,15.0,,15
236,32,8,4.0,,4
237,32,10,15.0,,15
238,32,12,15.0,,15
239,32,14,1.0,,1
240,33,0,3.0,,3
241,33,2,6.0,,6
242,33,4,15.0,,15
243,33,6,9.0,,9
244,33,8,4.0,,4
245,33,10,1.0,,1
246,34,0,3.0,,3
247,34,2,3.0,,3
248,34,4,15.0,,15
249,34,6,9.0,,9
250,34,8,4.0,,4
251,34,10,15.0,,15
252,34,12,18.0,,18
253,34,14,4.0,,4
254,34,16,11.0,,11
255,35,0,15.0,,15
256,35,2,9.0,,9
257,35,4,4.0,,4
258,35,6,18.0,,18
259,35,8,8.0,,8
260,35,10,16.0,,16
261,35,12,1.0,,1
262,36,0,15.0,,15
263,36,2,4.0,,4
264,37,0,9.0,,9
265,37,2,9.0,,9
266,37,4,4.0,,4
267,37,6,8.0,,8
268,37,8,8.0,,8
269,37,10,6.0,,6
270,37,12,1.0,,1
271,38,0,8.0,,8
272,38,2,8.0,,8
273,38,4,18.0,,18
274,38,6,15.0,,15
275,38,8,4.0,,4
276,38,10,9.0,,9
277,38,12,9.0,,9
278,38,14,0.0,,0
279,38,16,1.0,,1
280,39,0,3.0,,3
281,39,2,7.0,,7
282,39,4,20.0,,20
283,39,6,16.0,,16
284,40,0,8.0,,8
285,40,2,18.0,,18
286,40,4,13.0,,13
287,40,6,14.0,,14
288,40,8,2.0,,2
289,40,10,4.0,,4
290,40,12,16.0,,16
291,40,14,16.0,,16
292,41,0,8.0,,8
293,41,2,6.0,,6
294,41,4,3.0,,3
295,41,6,7.0,,7
296,41,8,20.0,,20
297,41,10,1.0,,1
298,41,12,16.0,,16
299,42,0,3.0,,3
300,42,2,7.0,,7
301,42,4,0.0,,0
302,42,6,13.0,,13
303,42,8,13.0,,13
304,42,10,7.0,,7
305,42,12,13.0,,13
306,42,14,10.0,,10
307,42,16,16.0,,16
308,42,18,1.0,,1
309,43,0,17.0,,17
310,43,2,8.0,,8
311,43,4,0.0,,0
312,43,6,5.0,,5
313,43,8,6.0,,6
314,43,10,3.0,,3
315,43,12,1.0,,1
316,44,0,2.0,,2
317,44,2,4.0,,4
318,44,4,1.0,,1
319,44,6,11.0,,11
320,45,0,13.0,,13
321,45,2,0.0,,0
322,45,4,13.0,,13
323,45,6,6.0,,6
324,45,8,1.0,,1
325,46,0,15.0,,15
326,46,2,4.0,,4
327,46,4,15.0,,15
328,46,6,3.0,,3
329,46,8,8.0,,8
330,46,10,14.0,,14
331,46,12,1.0,,1
332,47,0,9.0,,9
333,47,2,7.0,,7
334,47,4,13.0,,13
335,47,6,5.0,,5
336,47,8,8.0,,8
337,47,10,20.0,,20
338,47,12,15.0,,15
339,47,14,9.0,,9
340,47,16,4.0,,4
341,47,18,0.0,,0
342,47,20,15.0,,15
343,47,22,7.0,,7
344,47,24,4.0,,4
345,47,26,16.0,,16
346,47,28,11.0,,11
347,48,0,6.0,,6
348,48,2,18.0,,18
349,48,4,3.0,,3
350,48,6,0.0,,0
351,48,8,7.0,,7
352,48,10,2.0,,2
353,48,12,4.0,,4
354,48,14,14.0,,14
355,48,16,1.0,,1
356,49,0,8.0,,8
357,49,2,20.0,,20
358,49,4,15.0,,15
359,49,6,9.0,,9
360,49,8,14.0,,14
361,49,10,11.0,,11
362,50,0,15.0,,15
363,50,2,9.0,,9
364,50,4,4.0,,4
365,50,6,4.0,,4
366,50,8,1.0,,1
367,51,0,15.0,,15
368,51,2,4.0,,4
369,51,4,15.0,,15
370,51,6,3.0,,3
371,51,8,6.0,,6
372,51,10,1.0,,1
373,52,0,9.0,,9
374,52,2,0.0,,0
375,52,4,5.0,,5
376,52,6,8.0,,8
377,52,8,8.0,,8
378,52,10,20.0,,20
379,52,12,16.0,,16
380,53,0,9.0,,9
381,53,2,17.0,,17
382,53,4,5.0,,5
383,53,6,9.0,,9
384,53,8,18.0,,18
385,53,10,2.0,,2
386,53,12,8.0,,8
387,54,0,8.0,,8
388,54,2,8.0,,8
389,54,4,15.0,,15
390,54,6,4.0,,4
391,54,8,9.0,,9
392,54,10,7.0,,7
393,54,12,1.0,,1
394,55,0,2.0,,2
395,55,2,8.0,,8
396,55,4,4.0,,4
397,55,6,3.0,,3
398,55,8,1.0,,1
399,56,0,15.0,,15
400,56,2,4.0,,4
401,56,4,9.0,,9
402,56,6,10.0,,10
403,56,8,0.0,,0
404,56,10,8.0,,8
405,56,12,20.0,,20
406,56,14,16.0,,16
407,56,16,1.0,,1
408,57,0,3.0,,3
409,57,2,19.0,,19
410,57,4,1.0,,1
411,58,0,15.0,,15
412,58,2,9.0,,9
413,58,4,4.0,,4
414,58,6,7.0,,7
415,58,8,8.0,,8
416,58,10,8.0,,8
417,58,12,18.0,,18
418,58,14,1.0,,1
419,59,0,2.0,,2
420,59,2,9.0,,9
421,59,4,12.0,,12
422,59,6,16.0,,16
423,60,0,17.0,,17
424,60,2,8.0,,8
425,60,4,7.0,,7
426,60,6,14.0,,14
427,60,8,6.0,,6
428,60,10,16.0,,16
429,60,12,2.0,,2
430,60,14,16.0,,16
431,61,0,15.0,,15
432,61,2,4.0,,4
433,61,4,10.0,,10
434,61,6,18.0,,18
435,61,8,8.0,,8
436,61,10,0.0,,0
437,61,12,8.0,,8
438,61,14,20.0,,20
439,61,16,16.0,,16
440,62,0,15.0,,15
441,62,2,9.0,,9
442,62,4,4.0,,4
443,62,6,8.0,,8
444,62,8,18.0,,18
445,62,10,1.0,,1
446,63,0,15.0,,15
447,63,2,9.0,,9
448,63,4,4.0,,4
449,63,6,4.0,,4
450,63,8,15.0,,15
451,63,10,8.0,,8
452,63,12,6.0,,6
453,63,14,1.0,,1
454,64,0,15.0,,15
455,64,2,9.0,,9
456,64,4,4.0,,4
457,64,6,15.0,,15
458,64,8,5.0,,5
459,64,10,5.0,,5
460,64,12,10.0,,10
461,64,14,7.0,,7
462,64,16,1.0,,1
463,65,0,13.0,,13
464,65,2,5.0,,5
465,65,4,7.0,,7
466,65,6,14.0,,14
467,65,8,14.0,,14
468,65,10,1.0,,1
469,66,0,8.0,,8
470,66,2,0.0,,0
471,66,4,18.0,,18
472,66,6,15.0,,15
473,66,8,4.0,,4
474,66,10,14.0,,14
475,67,0,3.0,,3
476,67,2,0.0,,0
477,67,4,19.0,,19
478,67,6,15.0,,15
479,67,8,9.0,,9
480,67,10,15.0,,15
481,67,12,15.0,,15
482,67,14,1.0,,1
483,68,0,3.0,,3
484,68,2,0.0,,0
485,68,4,15.0,,15
486,68,6,9.0,,9
487,68,8,4.0,,4
488,68,10,18.0,,18
489,68,12,1.0,,1
490,68,14,11.0,,11
491,69,0,2.0,,2
492,69,2,18.0,,18
493,69,4,1.0,,1
494,70,0,15.0,,15
495,70,2,9.0,,9
496,70,4,15.0,,15
497,70,6,5.0,,5
498,70,8,13.0,,13
499,70,10,8.0,,8
500,70,12,1.0,,1
501,70,14,11.0,,11
502,71,0,9.0,,9
503,71,2,13.0,,13
504,71,4,17.0,,17
505,71,6,8.0,,8
506,71,8,16.0,,16
507,71,10,6.0,,6
508,71,12,3.0,,3
509,71,14,6.0,,6
510,71,16,2.0,,2
511,71,18,4.0,,4
512,71,20,11.0,,11
513,72,0,13.0,,13
514,72,2,7.0,,7
515,72,4,8.0,,8
516,72,6,0.0,,0
517,72,8,18.0,,18
518,72,10,16.0,,16
519,72,12,16.0,,16
520,73,0,15.0,,15
521,73,2,9.0,,9
522,73,4,14.0,,14
523,73,6,18.0,,18
524,73,8,15.0,,15
525,73,10,8.0,,8
526,73,12,18.0,,18
527,73,14,16.0,,16
528,74,0,2.0,,2
529,74,2,8.0,,8
530,75,0,9.0,,9
531,75,2,8.0,,8
532,75,4,6.0,,6
533,75,6,16.0,,16
534,75,8,1.0,,1
535,76,0,9.0,,9
536,76,2,0.0,,0
537,76,4,18.0,,18
538,76,6,18.0,,18
539,76,8,15.0,,15
540,76,10,9.0,,9
541,76,12,4.0,,4
542,76,14,18.0,,18
543,76,16,11.0,,11
544,77,0,2.0,,2
545,77,2,9.0,,9
546,77,4,4.0,,4
547,77,6,16.0,,16
548,77,8,11.0,,11
549,78,0,9.0,,9
550,78,2,16.0,,16
551,78,4,15.0,,15
552,78,6,4.0,,4
553,78,8,9.0,,9
554,78,10,15.0,,15
555,78,12,16.0,,16
556,78,14,11.0,,11
557,79,0,3.0,,3
558,79,2,6.0,,6
559,79,4,15.0,,15
560,79,6,4.0,,4
561,79,8,15.0,,15
562,79,10,1.0,,1
563,80,0,3.0,,3
564,80,2,3.0,,3
565,80,4,8.0,,8
566,80,6,15.0,,15
567,80,8,18.0,,18
568,80,10,1.0,,1
569,80,12,11.0,,11
570,81,0,8.0,,8
571,81,2,6.0,,6
572,81,4,15.0,,15
573,81,6,9.0,,9
574,81,8,10.0,,10
575,81,10,14.0,,14
576,81,12,16.0,,16
577,82,0,3.0,,3
578,82,2,14.0,,14
579,82,4,14.0,,14
580,82,6,14.0,,14
581,82,8,11.0,,11
582,83,0,8.0,,8
583,83,2,8.0,,8
584,83,4,20.0,,20
585,83,6,15.0,,15
586,83,8,9.0,,9
587,83,10,10.0,,10
588,83,12,1.0,,1
589,84,0,9.0,,9
590,84,2,15.0,,15
591,84,4,4.0,,4
592,84,6,0.0,,0
593,84,8,3.0,,3
594,84,10,10.0,,10
595,84,12,6.0,,6
596,85,0,9.0,,9
597,85,2,13.0,,13
598,85,4,17.0,,17
599,85,6,14.0,,14
600,85,8,8.0,,8
601,85,10,19.0,,19
602,85,12,19.0,,19
603,85,14,20.0,,20
604,85,16,2.0,,2
605,85,18,2.0,,2
606,85,20,16.0,,16
607,85,22,11.0,,11
608,86,0,17.0,,17
609,86,2,5.0,,5
610,86,4,13.0,,13
611,86,6,13.0,,13
612,86,8,13.0,,13
613,86,10,20.0,,20
614,86,12,16.0,,16
615,87,0,8.0,,8
616,87,2,20.0,,20
617,87,4,15.0,,15
618,87,6,15.0,,15
619,88,0,15.0,,15
620,88,2,4.0,,4
621,88,4,14.0,,14
622,88,6,1.0,,1
623,89,0,3.0,,3
624,89,2,20.0,,20
625,89,4,8.0,,8
626,89,6,20.0,,20
627,89,8,2.0,,2
628,89,10,2.0,,2
629,89,12,16.0,,16
630,90,0,8.0,,8
631,90,2,8.0,,8
632,90,4,18.0,,18
633,90,6,15.0,,15
634,90,8,9.0,,9
635,90,10,10.0,,10
636,90,12,1.0,,1
637,91,0,8.0,,8
638,91,2,0.0,,0
639,91,4,0.0,,0
640,91,6,13.0,,13
641,91,8,0.0,,0
642,91,10,7.0,,7
643,91,12,1.0,,1
644,92,0,13.0,,13
645,92,2,5.0,,5
646,92,4,20.0,,20
647,92,6,13.0,,13
648,92,8,5.0,,5
649,92,10,16.0,,16
650,92,12,11.0,,11
651,93,0,3.0,,3
652,93,2,0.0,,0
653,93,4,7.0,,7
654,93,6,17.0,,17
655,93,8,13.0,,13
656,93,10,7.0,,7
657,93,12,4.0,,4
658,93,14,11.0,,11
659,94,0,9.0,,9
660,94,2,15.0,,15
661,94,4,4.0,,4
662,94,6,10.0,,10
663,94,8,15.0,,15
664,94,10,8.0,,8
665,94,12,0.0,,0
666,94,14,15.0,,15
667,94,16,6.0,,6
668,94,18,16.0,,16
669,95,0,3.0,,3
670,95,2,0.0,,0
671,95,4,20.0,,20
672,95,6,13.0,,13
673,95,8,13.0,,13
674,95,10,14.0,,14
675,95,12,14.0,,14
676,95,14,2.0,,2
677,95,16,1.0,,1
678,96,0,15.0,,15
679,96,2,15.0,,15
680,96,4,16.0,,16
681,96,6,4.0,,4
682,96,8,18.0,,18
683,96,10,18.0,,18
684,96,12,1.0,,1
685,97,0,8.0,,8
686,97,2,0.0,,0
687,97,4,6.0,,6
688,97,6,15.0,,15
689,97,8,18.0,,18
690,97,10,1.0,,1
691,98,0,15.0,,15
692,98,2,9.0,,9
693,98,4,18.0,,18
694,98,6,8.0,,8
695,98,8,18.0,,18
696,98,10,6.0,,6
697,98,12,1.0,,1
698,99,0,13.0,,13
699,99,2,13.0,,13
700,99,4,7.0,,7
701,99,6,15.0,,15
702,99,8,0.0,,0
703,99,10,18.0,,18
704,99,12,1.0,,1
705,100,0,3.0,,3
706,100,2,0.0,,0
707,100,4,14.0,,14
708,100,6,7.0,,7
709,100,8,3.0,,3
710,100,10,8.0,,8
711,100,12,18.0,,18
712,100,14,2.0,,2
713,100,16,4.0,,4
714,100,18,16.0,,16
715,100,20,16.0,,16
716,101,0,9.0,,9
717,101,2,14.0,,14
718,101,4,4.0,,4
719,101,6,15.0,,15
720,101,8,15.0,,15
721,101,10,18.0,,18
722,101,12,1.0,,1
723,102,0,8.0,,8
724,102,2,20.0,,20
725,102,4,15.0,,15
726,102,6,9.0,,9
727,102,8,4.0,,4
728,102,10,4.0,,4
729,102,12,0.0,,0
730,102,14,0.0,,0
731,102,16,11.0,,11
732,103,0,8.0,,8
733,103,2,8.0,,8
734,103,4,20.0,,20
735,103,6,15.0,,15
736,103,8,9.0,,9
737,103,10,14.0,,14
738,103,12,1.0,,1
739,104,0,15.0,,15
740,104,2,9.0,,9
741,104,4,7.0,,7
742,104,6,8.0,,8
743,104,8,0.0,,0
744,104,10,18.0,,18
745,104,12,1.0,,1
746,105,0,9.0,,9
747,105,2,4.0,,4
748,105,4,15.0,,15
749,105,6,3.0,,3
750,105,8,14.0,,14
751,105,10,1.0,,1
752,106,0,3.0,,3
753,106,2,19.0,,19
754,106,4,0.0,,0
755,106,6,20.0,,20
756,106,8,15.0,,15
757,106,10,9.0,,9
758,106,12,4.0,,4
759,106,14,15.0,,15
760,106,16,18.0,,18
761,107,0,3.0,,3
762,107,2,20.0,,20
763,107,4,8.0,,8
764,107,6,8.0,,8
765,107,8,6.0,,6
766,107,10,16.0,,16
767,108,0,15.0,,15
768,108,2,4.0,,4
769,108,4,9.0,,9
770,108,6,15.0,,15
771,108,8,16.0,,16
772,109,0,15.0,,15
773,109,2,9.0,,9
774,109,4,7.0,,7
775,109,6,13.0,,13
776,109,8,5.0,,5
777,109,10,1.0,,1
778,110,0,15.0,,15
779,110,2,9.0,,9
780,110,4,15.0,,15
781,110,6,15.0,,15
782,110,8,16.0,,16
783,110,10,8.0,,8
784,110,12,10.0,,10
785,110,14,7.0,,7
786,110,16,1.0,,1
787,111,0,8.0,,8
788,111,2,8.0,,8
789,111,4,6.0,,6
790,111,6,15.0,,15
791,111,8,4.0,,4
792,111,10,14.0,,14
793,111,12,1.0,,1
794,112,0,8.0,,8
795,112,2,8.0,,8
796,112,4,18.0,,18
797,112,6,3.0,,3
798,112,8,20.0,,20
799,112,10,1.0,,1
800,113,0,3.0,,3
801,113,2,19.0,,19
802,113,4,10.0,,10
803,113,6,10.0,,10
804,113,8,17.0,,17
805,113,10,6.0,,6
806,113,12,2.0,,2
807,113,14,16.0,,16
808,113,16,16.0,,16
809,114,0,8.0,,8
810,114,2,8.0,,8
811,114,4,15.0,,15
812,114,6,15.0,,15
813,114,8,10.0,,10
814,114,10,11.0,,11
815,115,0,9.0,,9
816,115,2,13.0,,13
817,115,4,6.0,,6
818,115,6,9.0,,9
819,115,8,9.0,,9
820,115,10,4.0,,4
821,115,12,1.0,,1
822,116,0,13.0,,13
823,116,2,17.0,,17
824,116,4,16.0,,16
825,116,6,7.0,,7
826,116,8,13.0,,13
827,116,10,9.0,,9
828,116,12,15.0,,15
829,116,14,4.0,,4
830,116,16,4.0,,4
831,116,18,11.0,,11
832,117,0,13.0,,13
833,117,2,1.0,,1
834,117,4,15.0,,15
835,117,6,9.0,,9
836,117,8,7.0,,7
837,117,10,1.0,,1
838,118,0,8.0,,8
839,118,2,8.0,,8
840,118,4,8.0,,8
841,118,6,18.0,,18
842,118,8,5.0,,5
843,118,10,5.0,,5
844,118,12,13.0,,13
845,118,14,1.0,,1
846,119,0,3.0,,3
847,119,2,7.0,,7
848,119,4,3.0,,3
849,119,6,8.0,,8
850,119,8,1.0,,1
851,119,10,6.0,,6
852,119,12,1.0,,1
853,120,0,3.0,,3
854,120,2,3.0,,3
855,120,4,3.0,,3
856,120,6,14.0,,14
857,120,8,15.0,,15
858,120,10,9.0,,9
859,120,12,15.0,,15
860,120,14,15.0,,15
861,120,16,1.0,,1
862,121,0,8.0,,8
863,121,2,8.0,,8
864,121,4,20.0,,20
865,121,6,14.0,,14
866,121,8,0.0,,0
867,121,10,14.0,,14
868,121,12,2.0,,2
869,121,14,2.0,,2
870,121,16,16.0,,16
871,122,0,3.0,,3
872,122,2,0.0,,0
873,122,4,7.0,,7
874,122,6,8.0,,8
875,122,8,18.0,,18
876,122,10,2.0,,2
877,122,12,4.0,,4
878,122,14,1.0,,1
879,123,0,15.0,,15
880,123,2,9.0,,9
881,123,4,4.0,,4
882,123,6,14.0,,14
883,123,8,17.0,,17
884,123,10,13.0,,13
885,123,12,7.0,,7
886,123,14,16.0,,16
887,124,0,3.0,,3
888,124,2,19.0,,19
889,124,4,3.0,,3
890,124,6,15.0,,15
891,124,8,9.0,,9
892,124,10,15.0,,15
893,124,12,1.0,,1
894,125,0,17.0,,17
895,125,2,5.0,,5
896,125,4,7.0,,7
897,125,6,1.0,,1
898,126,0,15.0,,15
899,126,2,9.0,,9
900,126,4,4.0,,4
901,126,6,4.0,,4
902,127,0,3.0,,3
903,127,2,7.0,,7
904,127,4,15.0,,15
905,127,6,4.0,,4
906,127,8,15.0,,15
907,127,10,1.0,,1
908,127,12,16.0,,16
909,128,0,3.0,,3
910,128,2,6.0,,6
911,128,4,13.0,,13
912,128,6,14.0,,14
913,128,8,2.0,,2
914,128,10,14.0,,14
915,128,12,1.0,,1
916,129,0,14.0,,14
917,129,2,1.0,,1
918,129,4,8.0,,8
919,129,6,6.0,,6
920,129,8,2.0,,2
921,129,10,16.0,,16
922,130,0,3.0,,3
923,130,2,3.0,,3
924,130,4,16.0,,16
925,130,6,1.0,,1
926,131,0,9.0,,9
927,131,2,10.0,,10
928,131,4,8.0,,8
929,131,6,8.0,,8
930,131,8,8.0,,8
931,131,10,20.0,,20
932,131,12,2.0,,2
933,131,14,4.0,,4
934,131,16,1.0,,1
935,132,0,8.0,,8
936,132,2,18.0,,18
937,132,4,15.0,,15
938,132,6,9.0,,9
939,132,8,4.0,,4
940,132,10,7.0,,7
941,132,12,15.0,,15
942,132,14,1.0,,1
943,132,16,16.0,,16
944,133,0,15.0,,15
945,133,2,4.0,,4
946,133,4,7.0,,7
947,133,6,3.0,,3
948,133,8,8.0,,8
949,133,10,19.0,,19
950,133,12,7.0,,7
951,133,14,6.0,,6
952,133,16,1.0,,1
953,133,18,11.0,,11
954,134,0,13.0,,13
955,134,2,0.0,,0
956,134,4,5.0,,5
957,134,6,16.0,,16
958,134,8,14.0,,14
959,134,10,7.0,,7
960,134,12,18.0,,18
961,134,14,9.0,,9
962,134,16,16.0,,16
963,135,0,13.0,,13
964,135,2,8.0,,8
965,135,4,17.0,,17
966,135,6,13.0,,13
967,135,8,8.0,,8
968,135,10,17.0,,17
969,135,12,7.0,,7
970,135,14,15.0,,15
971,135,16,18.0,,18
972,135,18,1.0,,1
973,135,20,1.0,,1
974,136,0,15.0,,15
975,136,2,4.0,,4
976,136,4,9.0,,9
977,136,6,13.0,,13
978,136,8,6.0,,6
979,136,10,5.0,,5
980,136,12,7.0,,7
981,136,14,16.0,,16
982,137,0,15.0,,15
983,137,2,9.0,,9
984,137,4,15.0,,15
985,137,6,13.0,,13
986,137,8,13.0,,13
987,137,10,6.0,,6
988,137,12,6.0,,6
989,137,14,11.0,,11
990,138,0,9.0,,9
991,138,2,6.0,,6
992,138,4,13.0,,13
993,138,6,14.0,,14
994,138,8,16.0,,16
995,139,0,3.0,,3
996,139,2,19.0,,19
997,139,4,4.0,,4
998,139,6,15.0,,15
999,139,8,9.0,,9
1000,139,10,18.0,,18
1001,139,12,16.0,,16
1002,140,0,9.0,,9
1003,140,2,5.0,,5
1004,140,4,14.0,,14
1005,140,6,1.0,,1
1006,140,8,8.0,,8
1007,140,10,8.0,,8
1008,140,12,18.0,,18
1009,140,14,1.0,,1
1010,141,0,13.0,,13
1011,141,2,9.0,,9
1012,141,4,5.0,,5
1013,141,6,8.0,,8
1014,141,8,5.0,,5
1015,141,10,0.0,,0
1016,141,12,6.0,,6
1017,141,14,13.0,,13
1018,141,16,15.0,,15
1019,141,18,7.0,,7
1020,141,20,16.0,,16
1021,142,0,15.0,,15
1022,142,2,4.0,,4
1023,142,4,4.0,,4
1024,142,6,13.0,,13
1025,142,8,17.0,,17
1026,142,10,0.0,,0
1027,142,12,14.0,,14
1028,142,14,1.0,,1
1029,143,0,9.0,,9
1030,143,2,18.0,,18
1031,143,4,15.0,,15
1032,143,6,9.0,,9
1033,143,8,4.0,,4
1034,143,10,4.0,,4
1035,143,12,1.0,,1
1036,143,14,16.0,,16
1037,144,0,15.0,,15
1038,144,2,9.0,,9
1039,144,4,7.0,,7
1040,144,6,6.0,,6
1041,144,8,11.0,,11
1042,145,0,2.0,,2
1043,145,2,4.0,,4
1044,145,4,11.0,,11
1045,146,0,3.0,,3
1046,146,2,3.0,,3
1047,146,4,6.0,,6
1048,146,6,3.0,,3
1049,146,8,6.0,,6
1050,146,10,1.0,,1
1051,147,0,3.0,,3
1052,147,2,19.0,,19
1053,147,4,7.0,,7
1054,147,6,10.0,,10
1055,147,8,4.0,,4
1056,147,10,10.0,,10
1057,147,12,15.0,,15
1058,147,14,10.0,,10
1059,147,16,1.0,,1
1060,148,0,3.0,,3
1061,148,2,7.0,,7
1062,148,4,13.0,,13
1063,148,6,17.0,,17
1064,148,8,14.0,,14
1065,148,10,2.0,,2
