;UUID;Speaker;Utterance
78;12bb2706-089e-4483-b1cb-8e6118d92bdf;AmazonHelp;Let us know.
79;12bb2706-089e-4483-b1cb-8e6118d92bdf;AmazonHelp;We'd like to help in any way we can!
80;12bb2706-089e-4483-b1cb-8e6118d92bdf;AmazonHelp;^SM
81;12bb2706-089e-4483-b1cb-8e6118d92bdf;258930;@AmazonHelp Got shipping refunded via chat, and packages will be here when they get here.
82;12bb2706-089e-4483-b1cb-8e6118d92bdf;258930;Thanks for letting me vent.
83;12bb2706-089e-4483-b1cb-8e6118d92bdf;AmazonHelp;@258930 Keep us posted, Dave!
84;12bb2706-089e-4483-b1cb-8e6118d92bdf;AmazonHelp;^SM
85;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;324537;"@GWRHelp I'd rather you spent some time making your app &amp; website work properly rather than spending millions on pointless new advertising."
86;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;GWRHelp;@324537 Hi.
87;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;GWRHelp;We are in the middle of huge £7.5bn investment with new trains due soon.
88;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;GWRHelp;It’s important to tell this story to as many people as possible
89;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;324537;@GWRHelp This is what comes up no matter what I do on your website after the homepage... 24/7 for 5 days.
90;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;324537;https://t.co/v6gvoDuMnq
91;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;GWRHelp;@324537 Hi Drayton.
92;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;GWRHelp;The websites been working.
93;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;GWRHelp;Have you tried clearing your cache or using a different browser?
94;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;GWRHelp;Lewis
95;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;324537;@GWRHelp Tried to buy a ticket 6 times in half an hour.
96;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;324537;Every time greeted with this.
97;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;324537;Not even 30 seconds between choosing a ticket and signing in.
98;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;324537;https://t.co/Ul43v8Rrna
99;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;GWRHelp;@324537 Sorry to see this Drayton.
100;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;GWRHelp;To confirm, is this on the app or mobile site?
101;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;GWRHelp;Phil.
102;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;324537;@GWRHelp Literally irrelevant if ppl can't buy tix for the new trains.
103;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;324537;I've never hated a website so much that I physically dread having 2 use it.
104;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;324537;@GWRHelp App.
105;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;324537;I havent been able to purchase a ticket since your insane revamp.
106;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;324537;It worked perfectly before and now it's an absolute sh*tshow.
107;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;GWRHelp;@324537 Sorry for the difficulty you've had, can you try un/reinstalling and booking again?
108;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;GWRHelp;Phil.
109;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;324537;@GWRHelp Believe me Phil I've tried every trick in the book.
110;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;324537;Off and on again in all sense of the word.
111;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;GWRHelp;@324537 Sorry to see this - I'll report to our Development team.
112;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;GWRHelp;Can you use mobile or desktop site in the meantime?
113;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;GWRHelp;Phil.
114;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;324537;@GWRHelp No Phil, am going to get the bus instead @151960 app works flawlessly.
115;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;GWRHelp;@324537 @151960 Apologies again for the difficulty you've had today Drayton, I appreciate this is frustrating.
116;9711f9c1-c4ed-4ad9-af6f-053ca28d1bed;GWRHelp;Phil.
117;183a6833-1b59-44ae-944f-bca11b227a57;366867;@115802 @AirAsiaSupport doesn’t seem like a customer’s time/money is of value to you!
118;183a6833-1b59-44ae-944f-bca11b227a57;366867;just because you are a low-cost carrier!?
119;183a6833-1b59-44ae-944f-bca11b227a57;366867;Nvr again!
120;183a6833-1b59-44ae-944f-bca11b227a57;366867;!
121;183a6833-1b59-44ae-944f-bca11b227a57;AirAsiaSupport;@366867 Sorry for the delay, Saim.
122;183a6833-1b59-44ae-944f-bca11b227a57;AirAsiaSupport;"Flight Change is subject to Change Fee (per person/per flight) at https://t.co/jNMqRBUZdx plus &gt;&gt;"
123;183a6833-1b59-44ae-944f-bca11b227a57;AirAsiaSupport;"@366867 &gt;&gt;Fare Difference, so you only have to pay for those."
124;183a6833-1b59-44ae-944f-bca11b227a57;AirAsiaSupport;If you think it's cheaper to make a new booking, you may consider so.-Floi
125;183a6833-1b59-44ae-944f-bca11b227a57;366867;@AirAsiaSupport bt how can the rescheduling charges be more than the ticket charges.
126;183a6833-1b59-44ae-944f-bca11b227a57;AirAsiaSupport;@366867 Really sorry as flight change is subject to change fee +  fare difference accordingly.Thanks - Ed
127;183a6833-1b59-44ae-944f-bca11b227a57;366867;@AirAsiaSupport i will go ahead with fresh booking bt will u move my baggage n food to the new pnr?
128;183a6833-1b59-44ae-944f-bca11b227a57;AirAsiaSupport;@366867 Hi Saim , We are sorry as the add ons cannot be transferred to another booking.
129;183a6833-1b59-44ae-944f-bca11b227a57;AirAsiaSupport;Thanks - Khairul
130;183a6833-1b59-44ae-944f-bca11b227a57;366867;@AirAsiaSupport @115802 @121276 never seen somebody sooo least bothered about customer... feel cheated.. and feel robbed...
131;183a6833-1b59-44ae-944f-bca11b227a57;366867;@AirAsiaSupport did nt expect this from such a reputed airlines... #cheated #robbed
132;183a6833-1b59-44ae-944f-bca11b227a57;AirAsiaSupport;@366867 Terribly sorry for the inconvenience but if you make a flight change, the baggage will be transfered to your new flight.
133;183a6833-1b59-44ae-944f-bca11b227a57;AirAsiaSupport;However,
134;183a6833-1b59-44ae-944f-bca11b227a57;AirAsiaSupport;@366867 if you make a new booking, it can not be transferred since it is a totally different booking.
135;183a6833-1b59-44ae-944f-bca11b227a57;AirAsiaSupport;-Yana
136;183a6833-1b59-44ae-944f-bca11b227a57;366867;@AirAsiaSupport as a basic courtesy and for customer satisfaction u can take so little of efforts... remember a satisfied customer is a best marketing
137;183a6833-1b59-44ae-944f-bca11b227a57;366867;@AirAsiaSupport its a request plz support
138;183a6833-1b59-44ae-944f-bca11b227a57;AirAsiaSupport;@366867 Really sorry Saim, but they're non-transferable and non-refundable.
139;183a6833-1b59-44ae-944f-bca11b227a57;AirAsiaSupport;"We just have to be fair to all of our guests &gt;&gt;"
140;183a6833-1b59-44ae-944f-bca11b227a57;AirAsiaSupport;"@366867 &gt;&gt;hence Ticket rules apply."
141;183a6833-1b59-44ae-944f-bca11b227a57;AirAsiaSupport;However, you may opt for Tax refund in case of No Show.
142;183a6833-1b59-44ae-944f-bca11b227a57;AirAsiaSupport;Thanks for your patience.
143;183a6833-1b59-44ae-944f-bca11b227a57;AirAsiaSupport;-Floi
144;9f7294c2-e4a0-4998-8882-a3834ea41ca0;357759;I don't know what @Tesco have done to their website, but it's crawling and crashing on my machine with 16 cores and 24 GB RAM.
145;9f7294c2-e4a0-4998-8882-a3834ea41ca0;357759;@Tesco So the problem appears to be that Firefox is running at 100% CPU for the @Tesco website tab.
146;9f7294c2-e4a0-4998-8882-a3834ea41ca0;357759;This is suboptimal.
147;9f7294c2-e4a0-4998-8882-a3834ea41ca0;Tesco;@357759 Hi Iain, I would like to log your feedback for our IT team, could you please DM your full name, address and postcode?
148;9f7294c2-e4a0-4998-8882-a3834ea41ca0;Tesco;Thanks - Dani
149;9f7294c2-e4a0-4998-8882-a3834ea41ca0;357759;@Tesco Nice try, but you won't be stealing my identity today.
150;9f7294c2-e4a0-4998-8882-a3834ea41ca0;357759;Using FF 52.4.0 (64bit/Linux) and here's my stats with only Tesco groceries open: https://t.co/OHJgszisDu
151;9f7294c2-e4a0-4998-8882-a3834ea41ca0;Tesco;@357759 Hi Iain, I'm afraid without those details we couldn't log your feedback.
152;9f7294c2-e4a0-4998-8882-a3834ea41ca0;Tesco;- Peter
153;9f7294c2-e4a0-4998-8882-a3834ea41ca0;357759;@Tesco Have you considered that your feedback logging mechanism is broken?
154;9f7294c2-e4a0-4998-8882-a3834ea41ca0;357759;The problem is in the website, not in me.
155;9f7294c2-e4a0-4998-8882-a3834ea41ca0;Tesco;@357759 Hi Iain, we are aware of some issues with our website that we are currently working on.
156;9f7294c2-e4a0-4998-8882-a3834ea41ca0;Tesco;I've logged your feedback anonymously.
157;9f7294c2-e4a0-4998-8882-a3834ea41ca0;Tesco;Thanks - Emma
158;9f7294c2-e4a0-4998-8882-a3834ea41ca0;357759;@Tesco Thanks.
159;9f7294c2-e4a0-4998-8882-a3834ea41ca0;357759;There's probably a middle ground between full name, address and postcode and complete anonymity, but this will do.
160;9f7294c2-e4a0-4998-8882-a3834ea41ca0;357759;@Tesco If it is helpful to your website team, I'm happy to try things out.
161;9f7294c2-e4a0-4998-8882-a3834ea41ca0;357759;Contact details at https://t.co/uIK3l3B8Vl.
162;9f7294c2-e4a0-4998-8882-a3834ea41ca0;Tesco;@357759 Hi Iain, without completing data protection, we're unable to log this against your account or check for account errors.
163;9f7294c2-e4a0-4998-8882-a3834ea41ca0;Tesco;TY - Kelly.
164;7db8a733-43ec-48af-8a2f-7324c21b4788;213129;@USCellularCares when is thrtr going to be an android update last one was April?
165;7db8a733-43ec-48af-8a2f-7324c21b4788;USCellularCares;@213129 Hi there!
166;7db8a733-43ec-48af-8a2f-7324c21b4788;USCellularCares;Which phone do you have?
167;7db8a733-43ec-48af-8a2f-7324c21b4788;USCellularCares;^KJ
168;7db8a733-43ec-48af-8a2f-7324c21b4788;213129;@USCellularCares Galaxy s7 on android 7
169;7db8a733-43ec-48af-8a2f-7324c21b4788;USCellularCares;@213129 The current android version for the Galaxy S7 is 7.0.0 and the base band version is G930R4TYU4BQE1.
170;7db8a733-43ec-48af-8a2f-7324c21b4788;USCellularCares;Is that what you have?
171;7db8a733-43ec-48af-8a2f-7324c21b4788;USCellularCares;^KJ
172;7db8a733-43ec-48af-8a2f-7324c21b4788;213129;@USCellularCares Yes but why is it still on April when there is a September from samsung
173;7db8a733-43ec-48af-8a2f-7324c21b4788;USCellularCares;@213129 This is the most recent version we have available.
174;7db8a733-43ec-48af-8a2f-7324c21b4788;USCellularCares;^KJ
175;7db8a733-43ec-48af-8a2f-7324c21b4788;213129;@USCellularCares Why not contact @117159 about getting the next few security updates
176;7db8a733-43ec-48af-8a2f-7324c21b4788;USCellularCares;@213129 I have contacted Samsung and the current version is the most recent available for this phone at this time.
177;7db8a733-43ec-48af-8a2f-7324c21b4788;USCellularCares;^KJ
178;7db8a733-43ec-48af-8a2f-7324c21b4788;213129;@USCellularCares So is there will not be anymore updates for a 1 1/2 old phone?
179;7db8a733-43ec-48af-8a2f-7324c21b4788;USCellularCares;@213129 We don't have any information on future updates.
180;7db8a733-43ec-48af-8a2f-7324c21b4788;USCellularCares;^KJ
181;7db8a733-43ec-48af-8a2f-7324c21b4788;213129;@USCellularCares Is there any plans to release security updates for this phone?
182;7db8a733-43ec-48af-8a2f-7324c21b4788;213129;@USCellularCares Why not just let Samsung do a direct to consumer update if you aren't going to secure customers phones?
183;7db8a733-43ec-48af-8a2f-7324c21b4788;USCellularCares;@213129 Samsung has advised that there are no additional updates available.
184;7db8a733-43ec-48af-8a2f-7324c21b4788;USCellularCares;You may contact the manufacturer directly for more information.
185;7db8a733-43ec-48af-8a2f-7324c21b4788;USCellularCares;^KJ
186;7db8a733-43ec-48af-8a2f-7324c21b4788;213129;@USCellularCares So current customers are not getting may,june,july,august,September security updates while on your network?
187;7db8a733-43ec-48af-8a2f-7324c21b4788;USCellularCares;@213129 Bob, once Samsung shares the updates with us, we will then share them with customers.
188;7db8a733-43ec-48af-8a2f-7324c21b4788;USCellularCares;^AW
189;7db8a733-43ec-48af-8a2f-7324c21b4788;213129;@USCellularCares So why haven't you pushed Samsung for may-sept security updates?
190;7db8a733-43ec-48af-8a2f-7324c21b4788;USCellularCares;@213129 We don't have any information on future updates.
191;7db8a733-43ec-48af-8a2f-7324c21b4788;USCellularCares;^KJ
192;4f41a614-9130-43ee-9e5c-af52da219085;170371;@XboxSupport can anyone help me (the last system I used was Nintendo) I have a silly question about purchasing a digital game
193;4f41a614-9130-43ee-9e5c-af52da219085;XboxSupport;@170371 Hi!
194;4f41a614-9130-43ee-9e5c-af52da219085;XboxSupport;"Let's have you follow us, DM us your Gamertag, and some more info about what you're seeing: https://t.co/nPX1yNXCi5
 ^BL"
195;4f41a614-9130-43ee-9e5c-af52da219085;170371;@XboxSupport I don't know what a game tag is.
196;4f41a614-9130-43ee-9e5c-af52da219085;170371;My question is I want to buy on Amazon a game for Xbox one for some1 without Xbox live.
197;4f41a614-9130-43ee-9e5c-af52da219085;170371;Can I?
198;4f41a614-9130-43ee-9e5c-af52da219085;170371;@XboxSupport Like can I purchase/use a digital Xbox one game off Amazon without Xbox live membership.
199;4f41a614-9130-43ee-9e5c-af52da219085;170371;There person does have internet access
200;4f41a614-9130-43ee-9e5c-af52da219085;XboxSupport;@170371 Gotcha.
201;4f41a614-9130-43ee-9e5c-af52da219085;XboxSupport;Some game titles do require an active internet connection in order to install updates, however, if they put 1/2 ^JA
202;4f41a614-9130-43ee-9e5c-af52da219085;XboxSupport;@170371 their console into offline mode: https://t.co/Uy0UiErFk1 then they should be able to launch this content.
203;4f41a614-9130-43ee-9e5c-af52da219085;XboxSupport;2/2 ^JA
204;4f41a614-9130-43ee-9e5c-af52da219085;170371;@XboxSupport That didn't answer my question.
205;4f41a614-9130-43ee-9e5c-af52da219085;170371;"If I buy a digital code of Forza horizon 3 from Amazon do I need Xbox live membership to install &amp; keep game"
206;4f41a614-9130-43ee-9e5c-af52da219085;170371;@XboxSupport Basically do u need Xbox live membership to purchase/install/own/continually use a digital game purchase
207;4f41a614-9130-43ee-9e5c-af52da219085;XboxSupport;@170371 If you purchase a digital game, you would not need an Xbox Live Gold subscription to keep it: https://t.co/7It5WcIV3z  ^EZ
208;4f41a614-9130-43ee-9e5c-af52da219085;170371;@XboxSupport Thank you.
209;4f41a614-9130-43ee-9e5c-af52da219085;170371;I'm sorry.
210;4f41a614-9130-43ee-9e5c-af52da219085;170371;"I know nothing about this &amp; was only about to buy a digital copy."
211;4f41a614-9130-43ee-9e5c-af52da219085;170371;😂😂 #BehindTheTimes
212;908ac237-f0c8-41e7-aa8d-f978f4a5f883;183043;@AmazonHelp ok, I need to change the shipping address on some shipments, I just realized they're going to the wrong place.
213;908ac237-f0c8-41e7-aa8d-f978f4a5f883;AmazonHelp;"@183043 If the order hasn't entered the shipping process then you can edit the address
https://t.co/cQ5AQodpK3 ^KM"
214;908ac237-f0c8-41e7-aa8d-f978f4a5f883;183043;@AmazonHelp I successfully did it with 2 items, but someone named murfbooks is being difficult.
215;908ac237-f0c8-41e7-aa8d-f978f4a5f883;183043;I told them I wanted a refund if they won't cooperate.
216;908ac237-f0c8-41e7-aa8d-f978f4a5f883;AmazonHelp;@183043 Hi, glad to hear you were able to do this for both items.
217;908ac237-f0c8-41e7-aa8d-f978f4a5f883;AmazonHelp;Have they submitted the refund ?
218;908ac237-f0c8-41e7-aa8d-f978f4a5f883;AmazonHelp;^CR
219;908ac237-f0c8-41e7-aa8d-f978f4a5f883;183043;@AmazonHelp No.
220;908ac237-f0c8-41e7-aa8d-f978f4a5f883;183043;I only put in the initial order an hour ago.
221;908ac237-f0c8-41e7-aa8d-f978f4a5f883;183043;They were quick to respond the first time, but now have not replied for about 15 minutes.
222;908ac237-f0c8-41e7-aa8d-f978f4a5f883;AmazonHelp;@183043 Ah okay- Has the order been marked as shipped?
223;908ac237-f0c8-41e7-aa8d-f978f4a5f883;AmazonHelp;^NV
224;908ac237-f0c8-41e7-aa8d-f978f4a5f883;183043;@AmazonHelp I am not sure...
225;908ac237-f0c8-41e7-aa8d-f978f4a5f883;183043;It says edit order, but it won't let me cuz it's 3rd party.
226;908ac237-f0c8-41e7-aa8d-f978f4a5f883;183043;https://t.co/HJp2di2dp7
227;908ac237-f0c8-41e7-aa8d-f978f4a5f883;AmazonHelp;@183043 Please allow the seller a bit longer to respond.
228;908ac237-f0c8-41e7-aa8d-f978f4a5f883;AmazonHelp;^AT
229;295ce78e-1da8-4290-a706-0ea205955723;393926;Bought these biscuits a couple of weeks ago, only just opened and looked at the best before date... @49975
230;295ce78e-1da8-4290-a706-0ea205955723;marksandspencer;@393926 We can't see a picture of the best before date or biscuits attached to your tweets here.
231;295ce78e-1da8-4290-a706-0ea205955723;marksandspencer;Please can you tweet or DM it to us again?
232;295ce78e-1da8-4290-a706-0ea205955723;marksandspencer;Thanks.
233;295ce78e-1da8-4290-a706-0ea205955723;marksandspencer;https://t.co/FqaAtoiNzs
234;295ce78e-1da8-4290-a706-0ea205955723;393926;@marksandspencer  https://t.co/bjTjk67Tv1
235;295ce78e-1da8-4290-a706-0ea205955723;393926;@marksandspencer  https://t.co/W11bv0UVeA
236;295ce78e-1da8-4290-a706-0ea205955723;393926;@marksandspencer  https://t.co/1MgEDf0cfM
237;295ce78e-1da8-4290-a706-0ea205955723;marksandspencer;@393926 We'd certainly like to take a closer look into this.
238;295ce78e-1da8-4290-a706-0ea205955723;marksandspencer;Please DM us a picture of your full receipt.
239;295ce78e-1da8-4290-a706-0ea205955723;marksandspencer;https://t.co/FqaAto1cHU
240;295ce78e-1da8-4290-a706-0ea205955723;393926;@marksandspencer Don’t have a receipt as they were bought for my grandparents 3 weeks ago and have only just realised the date on them
241;295ce78e-1da8-4290-a706-0ea205955723;393926;@marksandspencer The biscuits were purchased at the Marks and Spencer’s Store at the Ricoh Arena, Coventry
242;295ce78e-1da8-4290-a706-0ea205955723;marksandspencer;@393926 Did yo use a sparks card on your transaction, Cian?
243;295ce78e-1da8-4290-a706-0ea205955723;393926;@marksandspencer Yes
244;295ce78e-1da8-4290-a706-0ea205955723;marksandspencer;@393926 Hi Cian.
245;295ce78e-1da8-4290-a706-0ea205955723;marksandspencer;I'm really sorry to see this, especially when it was such a lovely gesture too!
246;295ce78e-1da8-4290-a706-0ea205955723;marksandspencer;"No worries though - we got your back ;) 1/3"
247;295ce78e-1da8-4290-a706-0ea205955723;marksandspencer;@393926 Is there a barcode on the tin anywhere?
248;295ce78e-1da8-4290-a706-0ea205955723;marksandspencer;"If there is, could you take a pic and DM it to us please &amp; also  let us know how much they cost?"
249;295ce78e-1da8-4290-a706-0ea205955723;marksandspencer;2/3
250;295ce78e-1da8-4290-a706-0ea205955723;marksandspencer;@393926 Once we have those, we'll explain what happens next.
251;295ce78e-1da8-4290-a706-0ea205955723;marksandspencer;Cheers, Steve :) 3/3
252;05c298eb-074e-44d1-9638-5e7b903055c5;126239;@116245 how do I make a complaint?
253;05c298eb-074e-44d1-9638-5e7b903055c5;126239;You lot are shit
254;05c298eb-074e-44d1-9638-5e7b903055c5;ArgosHelpers;@126239 Could you please DM us with more information with regards to your complaint.
